pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
26000,,nse_cm,,NIFTY,NIFTY,,NIFTY,,,,,NIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26009,,nse_cm,,BANKNIFTY,BANKNIFTY,,BANKNIFTY,,,,,BANKNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26037,,nse_cm,,FINNIFTY,FINNIFTY,,FINNIFTY,,,,,FINNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26074,,nse_cm,,MIDCPNIFTY,MIDCPNIFTY,,MIDCPNIFTY,,,,,MIDCPNIFTY,,,-1,-1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
1000,SG,nse_cm,,656MH32,656MH32-SG,,656MH32-SG,IN2220200306,,,,SDL MH 6.56% 2032,,,1,100,-1,-1,2,-1,NSE,,,1289088000,,1289088000,0,0,0,0,0,95.00-105.00,0,0,1466874207,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999900.00,100,0,10500,9500,1,1,1,0,0,1,0,1.5e+08,0,0,999900,
10083,BL,nse_cm,,EMAMIPAP,EMAMIPAP-BL,,EMAMIPAP-BL,INE830C01026,,,,EMAMI PAPER MILLS LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1243641600,,1243641600,0,0,0,0,1440720000,82.70-87.80,0,0,1466875869,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,1168720.00,1,0,8780,8270,1,1,1,0,0,1,0,6.0499e+07,0,0,1168720,
11159,SG,nse_cm,,756WB39,756WB39-SG,,756WB39-SG,IN3420220102,,,,SDL WB 7.56% 2039,,,1,100,-1,-1,2,-1,NSE,,,1348358400,,1348358400,0,0,0,0,0,95.00-105.00,0,0,1466874208,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
11168,BL,nse_cm,,COFFEEDAY,COFFEEDAY-BL,,COFFEEDAY-BL,INE335K01011,,,,COFFEE DAY ENTERPRISE LTD,,,1,1,-1,-1,2,-1,NSE,,,1130889600,,1130889600,0,0,1411344000,1411862400,0,32.30-34.28,0,0,1466875896,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,2926470.00,1,0,3428,3230,1,1,1,0,0,1,0,2.11252e+08,0,0,2926470,
11169,BE,nse_cm,,COFFEEDAY,COFFEEDAY-BE,,COFFEEDAY,INE335K01011,,,,COFFEE DAY ENTERPRISE LTD,,,1,1,-1,-1,2,-1,NSE,,,1130889600,,1130889600,0,0,1411344000,1411862400,0,31.63-34.95,0,0,1466879995,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,3003788.00,1,0,3495,3163,1,1,1,0,0,1,0,2.11252e+08,0,0,3003788,"Stage I ESM Scrip,Gross settlement (Trade for Trade)"
11172,BL,nse_cm,,HARSHA,HARSHA-BL,,HARSHA-BL,INE0JUS01029,,,,HARSHA ENGINEERS INT LTD,,,5,1,-1,-1,2,-1,NSE,,,1348617600,,1348617600,0,0,0,0,1440892800,403.80-428.70,0,0,1466875871,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,232981.00,1,0,42870,40380,1,1,1,0,0,1,0,9.10441e+07,0,0,232981,
