pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
828933,,bse_fo,SO,DELHIVERY,DELHIVERY26AUG445CE,CE,DELHIVERY27AUG26445.00CE,,543529,,,DELHIVERY26AUG445CE,,,5,2075,1787855399,1,2,44500,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,2075,0,10565,3485,1,1,1,0,0,1,0,-1,1,0,100000000
828944,,bse_fo,SO,SOLARINDS,SOLARINDS26AUG19500PE,PE,SOLARINDS27AUG2619500.00PE,,532725,,,SOLARINDS26AUG19500PE,,,5,50,1787855399,1,2,1.95e+06,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,50,0,236680,58315,1,1,1,0,0,1,0,-1,1,0,100000000
828953,,bse_fo,SO,TECHM,TECHM26AUG1524CE,CE,TECHM27AUG261524.00CE,,532755,,,TECHM26AUG1524CE,,,5,600,1787855399,1,2,152400,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,600,0,6170,5,1,1,1,0,0,1,0,-1,1,0,24000
828958,,bse_fo,SO,JSWENERGY,JSWENERGY26AUG630PE,PE,JSWENERGY27AUG26630.00PE,,533148,,,JSWENERGY26AUG630PE,,,5,1075,1787855399,1,2,63000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,1075,0,11805,4615,1,1,1,0,0,1,0,-1,1,0,100000000
828961,,bse_fo,SO,MOTILALOFS,MOTILALOFS26AUG900PE,PE,MOTILALOFS27AUG26900.00PE,,532892,,,MOTILALOFS26AUG900PE,,,5,775,1787855399,1,2,90000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,775,0,6415,85,1,1,1,0,0,1,0,-1,1,0,100000000
828970,,bse_fo,SO,BHEL,BHEL26AUG430CE,CE,BHEL27AUG26430.00CE,,500103,,,BHEL26AUG430CE,,,5,2625,1787855399,1,2,43000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,2625,0,3190,5,1,1,1,0,0,1,0,-1,1,0,315000
828977,,bse_fo,IO,FOCIT,FOCIT26AUG39250PE,PE,FOCIT27AUG2639250.00PE,,75,,,FOCIT26AUG39250PE,,,5,45,1787855399,1,2,3.925e+06,BSE,IO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Cash,,0,1,0.00,45,0,690165,454990,1,1,1,0,0,1,0,-1,1,0,1350
828980,,bse_fo,SO,MARUTI,MARUTI26AUG13300CE,CE,MARUTI27AUG2613300.00CE,,532500,,,MARUTI26AUG13300CE,,,5,50,1787855399,1,2,1.33e+06,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,50,0,201895,59725,1,1,1,0,0,1,0,-1,1,0,3000
828985,,bse_fo,SF,SBIN,SBIN26AUGFUT,XX,SBIN27AUG26FUT,,500112,,,SBIN26AUGFUT,,,5,750,1787855399,1,2,0,BSE,SF,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,750,0,115350,94375,1,1,1,0,0,1,0,-1,1,0,45000
828988,,bse_fo,SO,TCS,TCS26AUG2300PE,PE,TCS27AUG262300.00PE,,532540,,,TCS26AUG2300PE,,,5,225,1787855399,1,2,230000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,225,0,31390,11300,1,1,1,0,0,1,0,-1,1,0,7000
