pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
19011,SM,nse_cm,,MASTER,MASTER-SM,,MASTER-SM,INE0OJM01017,,,,MASTER COMPONENTS LIMITED,,,5,500,-1,-1,2,-1,NSE,,,1380412800,,1380412800,0,0,0,0,1466640000,323.95-358.05,0,0,1466705728,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,130799.00,500,0,35805,32395,1,1,1,0,0,1,0,4e+06,0,0,130799,"Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,The scrip is not regularly traded, and exit may be difficult"
19025,EQ,nse_cm,,KIRLOSIND,KIRLOSIND-EQ,,KIRLOSIND,INE250A01039,,,,KIRLOSKAR INDUSTRIES LTD,,,10,1,-1,-1,2,-1,NSE,,,961804800,,961804800,0,0,0,0,1438905600,3314.00-4971.00,0,0,1466705735,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,24129.00,1,0,497100,331400,1,1,1,0,0,1,0,1.05094e+07,0,0,24129,Stage 1 Short Term ASM scrip
19036,EQ,nse_cm,,PODDARMENT,PODDARMENT-EQ,,PODDARMENT,INE371C01013,,,,PODDAR PIGMENTS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1164240000,,1164240000,0,0,0,0,1442707200,201.60-302.30,0,0,1466705728,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,346946.00,1,0,30230,20160,1,1,1,0,0,1,0,1.061e+07,0,0,346946,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
19078,GB,nse_cm,,SGBJUN28,SGBJUN28-GB,,SGBJUN28-GB,IN0020200104,,,,2.5%GOLDBONDS2028SR-III,,,1,1,-1,-1,2,-1,NSE,,,1277424000,,1277424000,0,0,0,0,0,13008.91-15899.77,0,0,1466705449,,,,,,,,,,CASH,,,,,467700,,,,0,20,,0.0000,T+1,315513000,0,1,6916.00,1,0,1.58998e+06,1.30089e+06,1,1,1,0,0,1,0,2.38833e+06,0,0,6916,
19100,BL,nse_cm,,SILLYMONKS,SILLYMONKS-BL,,SILLYMONKS-BL,INE203Y01012,,,,SILLY MONKS ENTERTAIN LTD,,,1,1,-1,-1,2,-1,NSE,,,1278633600,,1278633600,0,0,0,0,1297900800,16.16-17.14,0,0,1466704809,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,407469.00,1,0,1714,1616,1,1,1,0,0,1,0,1.24608e+07,0,0,407469,
19111,EQ,nse_cm,,NBIFIN,NBIFIN-EQ,,NBIFIN,INE365I01020,,,,N.B.I. IND. FIN. CO. LTD,,,10,1,-1,-1,2,-1,NSE,,,1164326400,,1164326400,0,0,0,0,1439683200,1517.80-2276.60,0,0,1466705728,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,52708.00,1,0,227660,151780,1,1,1,0,0,1,0,2.95485e+06,0,0,52708,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
15405,BL,nse_cm,,PDMJEPAPER,PDMJEPAPER-BL,,PDMJEPAPER-BL,INE865T01018,,,,PUDUMJEE PAPER PRO. LTD,,,1,1,-1,-1,2,-1,NSE,,,1143763200,,1143763200,0,0,0,0,1440201600,81.04-86.04,0,0,1466704806,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,1188299.00,1,0,8604,8104,1,1,1,0,0,1,0,9.495e+07,0,0,1188299,
21626,BL,nse_cm,,APEX,APEX-BL,,APEX-BL,INE346W01013,,,,APEX FROZEN FOODS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1188950400,,1188950400,0,0,0,0,1442707200,406.35-431.45,0,0,1466704812,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,241750.00,1,0,43145,40635,1,1,1,0,0,1,0,3.125e+07,0,0,241750,
21645,SG,nse_cm,,724AP35,724AP35-SG,,724AP35-SG,IN1020190436,,,,SDL AP 7.24% 2035,,,1,100,-1,-1,2,-1,NSE,,,1280275200,,1280275200,0,0,0,0,0,101.76-112.46,0,0,1466701389,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,933600.00,100,0,11246,10176,1,1,1,0,0,1,0,1e+08,0,0,933600,
2168,EQ,nse_cm,,RAJMET,RAJMET-EQ,,RAJMET,INE00KV01022,,,,RAJNANDINI METAL LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1297900800,,1297900800,0,0,1411257600,1411862400,0,3.40-4.14,0,0,1466705728,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,9040896.00,1,0,414,340,1,1,1,0,0,1,0,2.7648e+08,0,0,9040896,EPS based on previous 4 trailing quarters in the scrip is zero
