pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
11139,XX,cde_fo,OPTCUR,JPYINR,JPYINR2671065.75PE,PE,JPYINR2671065.75PE,,27,,,,,,25000,1,1468161000,1000,4,6.575e+08,CDS,OPTCUR,1468161000,,1468134000,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1468108800,1468161000,,,,,,315513000,1,1,0.00,1,0,7.755e+07,6.325e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11140,XX,cde_fo,OPTCUR,JPYINR,JPYINR2671066CE,CE,JPYINR2671066CE,,27,,,,,,25000,1,1468161000,1000,4,6.6e+08,CDS,OPTCUR,1468161000,,1468134000,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1468108800,1468161000,,,,,,315513000,1,1,0.00,1,0,75000,25000,1,1,1,0,0,1,0,1e+12,1,0,10000
11145,XX,cde_fo,OPTCUR,JPYINR,JPYINR2671066.5PE,PE,JPYINR2671066.5PE,,27,,,,,,25000,1,1468161000,1000,4,6.65e+08,CDS,OPTCUR,1468161000,,1468134000,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1468108800,1468161000,,,,,,315513000,1,1,0.00,1,0,8.505e+07,7.075e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11133,XX,cde_fo,OPTCUR,JPYINR,JPYINR2670366.25PE,PE,JPYINR2670366.25PE,,27,,,,,,25000,1,1467556200,1000,4,6.625e+08,CDS,OPTCUR,1467556200,,1467529200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1467504000,1467556200,,,,,,315513000,1,1,0.00,1,0,8.325e+07,6.895e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11146,XX,cde_fo,OPTCUR,JPYINR,JPYINR2671765.5CE,CE,JPYINR2671765.5CE,,27,,,,,,25000,1,1468765800,1000,4,6.55e+08,CDS,OPTCUR,1468765800,,1468738800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1468713600,1468765800,,,,,,315513000,1,1,0.00,1,0,75000,25000,1,1,1,0,0,1,0,1e+12,1,0,10000
11149,XX,cde_fo,OPTCUR,JPYINR,JPYINR2671765.75PE,PE,JPYINR2671765.75PE,,27,,,,,,25000,1,1468765800,1000,4,6.575e+08,CDS,OPTCUR,1468765800,,1468738800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1468713600,1468765800,,,,,,315513000,1,1,0.00,1,0,7.695e+07,6.265e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11151,XX,cde_fo,OPTCUR,JPYINR,JPYINR2671766PE,PE,JPYINR2671766PE,,27,,,,,,25000,1,1468765800,1000,4,6.6e+08,CDS,OPTCUR,1468765800,,1468738800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1468713600,1468765800,,,,,,315513000,1,1,0.00,1,0,7.935e+07,6.505e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
1139,XX,cde_fo,FUTCUR,JPYINR,JPYINR26821FUT,XX,JPYINR26821FUT,,27,,,,,,25000,1,1471789800,1000,4,-1,CDS,FUTCUR,1471789800,,1471762800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,,,,,,,,315513000,0,1,0.00,1,0,6.08775e+08,5.73325e+08,1,1,1,0,0,1,0,1e+12,1,0,10000
11334,XX,cde_fo,OPTCUR,USDINR,USDINR2671795.625CE,CE,USDINR2671795.625CE,,1,,,,,,25000,1,1468765800,1000,4,9.5625e+08,CDS,OPTCUR,1468765800,,1468738800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1468713600,1468765800,,,,,,315513000,0,1,0.00,1,0,5.35e+06,1.4e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
11439,XX,cde_fo,OPTCUR,USDJPY,USDJPY26JUN163CE,CE,USDJPY26JUN163CE,,43,,,,,,100000,1,1466865000,1000,4,1.63e+09,CDS,OPTCUR,1466865000,,1466838000,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1466865000,1466865000,,,,,,315513000,0,1,0.00,1,0,5.4e+06,100000,1,1,1,0,0,1,0,1e+12,1,0,10000
